STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TEMP
95957099999,"WYNYARD AIRPORT, AS",-41.0,145.7333333,12.0,62.4
94863099999,"SHEOAKS AWS, AS",-37.9,144.1166666,237.0,68.7
95839099999,"HORSHAM AERODROME, AS",-36.6666666,142.1666666,134.0,72.9
94106099999,"NGUKURR AIRPORT, AS",-14.7166666,134.75,14.0,79.3
94765099999,"SYDNEY BANKSTOWN, AS",-33.924444,150.988333,8.83,65.3
94760099999,"HORSLEY EQUESTRIAN CENTRE, AS",-33.85,150.85,100.0,63.2
94647099999,"EUCLA, AS",-31.6797,128.8792,102.3,66.1
94595399999,"CURTIN, AS",-17.581389,123.828333,91.44,88.5
94641099999,"KATANNING, AS",-33.6833333,117.6,321.0,66.0
94914099999,"COMBIENBAR, AS",-37.3333333,149.0166666,641.0,58.6
95625099999,"CUNDERDIN AIRFIELD, AS",-31.6166666,117.2166666,217.0,76.9
95640099999,"WANDERING, AS",-32.6666666,116.6666666,275.0,72.6
94100099999,"KALUMBURU, AS",-14.3,126.6333333,24.0,85.0
94811099999,"SECOND VALLEY FOREST, AS",-35.5666666,138.2833333,342.0,61.0
94926099999,"CANBERRA, AS",-35.306944,149.195,574.85,61.1
94753099999,"RICHMOND, AS",-33.600556,150.780833,20.42,63.9
95617099999,"SHANNON, AS",-34.5833333,116.35,191.0,64.5
95909099999,"THREDBO AWS, AS",-36.5,148.2833333,1368.0,46.7
94655099999,"TARCOOLA, AS",-30.7166666,134.5833333,124.0,83.9
94474099999,"PUKATJA, AS",-26.2666666,132.1833333,704.0,87.9
95952099999,"MOUNT READ, AS",-41.85,145.5333333,1120.0,51.1
94595799999,"TENNANT CREEK, AS",-19.634444,134.183333,376.73,91.1
95784099999,"TAREE AIRPORT AWS, AS",-31.8833333,152.5166666,9.0,69.8
94857099999,"GEELONG RACECOURSE, AS",-38.1666666,144.3666666,35.0,70.8
94712099999,"YOUNG AIRPORT, AS",-34.25,148.25,381.0,64.7
94752099999,"BADGERY S CREEK AIRPORT, AS",-33.9,150.7333333,82.0,63.3
94927099999,"BRAIDWOOD RACECOURSE AWS, AS",-35.4333333,149.7833333,666.0,56.0
94817099999,"COONAWARRA, AS",-37.3,140.8166666,58.0,76.3
95305099999,"ONSLOW AIRPORT, AS",-21.6666666,115.1166666,11.0,87.2
94862099999,"YARRAWONGA, AS",-36.0166666,146.0333333,129.0,71.9
94376099999,"THANGOOL AIRPORT, AS",-24.4833333,150.5666666,199.0,76.5
94370099999,"SAMUEL HILL AERO, AS",-22.7333333,150.65,32.0,78.7
95728099999,"COONABARABRAN AIRPORT AWS, AS",-31.3166666,149.2666666,646.0,64.7
94596099999,"BALLINA AIRPORT AWS, AS",-28.8333333,153.55,2.0,74.4
94759099999,"TERREY HILLS AWS, AS",-33.6833333,151.2333333,199.0,61.8
94105099999,"NOONAMAH AIRSTRIP, AS",-12.6166666,131.05,17.5,82.5
94308099999,"ROEBOURNE AERO, AS",-20.75,117.15,11.0,91.7
94260099999,"BURKETOWN AIRPORT, AS",-17.75,139.5333333,6.0,81.1
95845099999,"MOUNT GELLIBRAND, AS",-38.2333333,143.7833333,262.0,65.5
94588099999,"GLEN INNES AIRPORT, AS",-29.6833333,151.7,1045.0,65.7
94381099999,"GLADSTONE AIRPORT, AS",-23.8666666,151.2166666,17.0,79.6
94653099999,"CEDUNA AMO, AS",-32.1333333,133.7,16.0,67.7
95960099999,"DEVONPORT AIRPORT, AS",-41.1666666,146.4166666,10.0,63.1
94600099999,"CAPE NATURALISTE, AS",-33.5333333,115.0166666,110.0,72.9
94925099999,"TUGGERANONG ISABELLA PLAINS, AS",-35.4166666,149.1,588.0,61.6
94980099999,"FLINDERS ISLAND AIRPORT, AS",-40.1,148.0,10.0,62.5
94374099999,"ROCKHAMPTON, AS",-23.381944,150.475278,10.36,79.8
94542099999,"DALBY AIRPORT, AS",-27.15,151.2666666,348.0,75.3
95629099999,"DALWALLINU, AS",-30.2833333,116.6666666,326.0,80.2
94968099999,"LAUNCESTON, AS",-41.545278,147.214167,171.29,60.7
95734099999,"NARRABRI AIRPORT AWS, AS",-30.3166666,149.8166666,230.0,72.9
94757099999,"CAMBELL TOWN MOUNT ANNAN, AS",-34.0666666,150.7666666,112.0,63.1
95566099999,"BEERBURRUM FOREST STATION, AS",-26.95,152.9666666,36.0,72.7
95676099999,"EDINBURGH, AS",-34.7025,138.620833,20.42,75.9
94930099999,"MOUNT NOWA NOWA, AS",-37.7,148.0833333,350.0,64.8
94807099999,"PARDANA CFS AWS, AS",-35.8,137.25,165.0,63.9
94872099999,"FERNY CREEK, AS",-37.8666666,145.3333333,561.0,67.7
94152099999,"BORROLOOLA, AS",-16.0833333,136.3,17.0,81.5
94754099999,"NULLO MOUNTAIN AWS, AS",-32.7333333,150.2333333,1130.0,52.3
95958099999,"SCOTTS PEAK DAM, AS",-43.05,146.2666666,408.0,60.6
94711099999,"COBAR MO, AS",-31.4833333,145.8333333,263.6,74.6
94749099999,"BELLAMBI AWS, AS",-34.3833333,150.9333333,10.0,64.3
95575099999,"BEAUDESERT DRUMLEY ST, AS",-27.9666666,152.9833333,48.0,75.2
94864099999,"MELBOURNE ESSENDON, AS",-37.728056,144.901944,85.95,70.1
94373099999,"YEPPOON THE ESPLANADE, AS",-23.1333333,150.75,6.0,79.5
94808099999,"NOARLUNGA, AS",-35.1666666,138.5,55.0,73.1
94317099999,"NEWMAN AERO, AS",-23.4166666,119.8,524.0,94.6
94212099999,"HALLS CREEK AIRPORT, AS",-18.2333333,127.6666666,424.0,88.6
95677099999,"ADELAIDE PARAFIELD, AS",-34.793333,138.633056,17.37,76.4
94703099999,"BOURKE AIRPORT AWS, AS",-30.0333333,145.95,108.0,76.2
94153099999,"GROOTE EYLANDT, AS",-13.975,136.46,16.15,79.8
94710099999,"COBAR AIRPORT AWS, AS",-31.5333333,145.8,218.0,74.8
94367099999,"MACKAY MO, AS",-21.1166666,149.2166666,33.0,78.7
95962099999,"WARRA, AS",-43.0666666,146.7,495.0,54.5
94865099999,"LAVERTON RAAF, AS",-37.8666666,144.75,20.0,72.9
94592099999,"GOLD COAST, AS",-28.164444,153.504722,6.4,74.7
94870099999,"MELBOURNE MOORABBIN, AS",-37.975833,145.102222,15.24,72.2
94975099999,"HOBART, AS",-42.836111,147.510278,3.96,60.3
94206099999,"FITZROY CROSSING AERO, AS",-18.1833333,125.5666666,115.0,90.7
94321099999,"WULUNGURRU, AS",-23.2666666,129.3666666,455.0,94.8
95458099999,"COOBER PEDY AIRPORT, AS",-29.0333333,134.7166666,226.0,88.5
94316099999,"PARABURDOO AERO, AS",-23.1666666,117.75,424.0,94.9
95956099999,"LUNCHERON HILL FORESTRY, AS",-41.15,145.15,340.0,58.7
94541099999,"INVERELL RESEARCH CENTRE, AS",-29.7833333,151.0833333,664.0,71.7
95678099999,"MOUNT LOFTY, AS",-34.9666666,138.7,730.0,69.2
94919099999,"KHANCOBAN, AS",-36.2333333,148.1333333,340.0,63.5
94814099999,"STRATHALBYN RACECOURSE, AS",-35.2833333,138.9,58.0,67.4
94651099999,"NULLARBOR, AS",-31.45,130.9,65.0,67.7
94809099999,"EDITHBURGH AWS, AS",-35.1166666,137.7333333,7.0,66.0
94866099999,"MELBOURNE INTERNATIONAL, AS",-37.673333,144.843333,132.28,73.8
94365099999,"PROSERPINE WHITSUNDAY COAST, AS",-20.495,148.552222,24.99,78.7
95642099999,"NORSEMAN AERO, AS",-32.2166666,121.75,263.0,74.4
94312099999,"PORT HEDLAND INTERNATIONAL, AS",-20.377778,118.626389,10.05,89.8
94617099999,"MANJIMUP, AS",-34.25,116.15,287.0,65.5
94234099999,"DALY WATERS AWS, AS",-16.25,133.3666666,211.0,87.5
95481099999,"MOOMBA AIRPORT, AS",-28.1,140.2,38.0,90.5
94840099999,"MORTLAKE RACECOURSE, AS",-38.0666666,142.7666666,131.0,69.1
94775099999,"TOCAL AWS, AS",-32.6333333,151.5833333,30.0,64.1
95323099999,"ARLTUNGA, AS",-23.4666666,134.6833333,664.0,91.9
94604099999,"BUNBURY, AS",-33.35,115.65,6.0,74.6
94274099999,"GEORGETOWN AIRPORT, AS",-18.3,143.5333333,302.0,76.5
95205099999,"DERBY AERO, AS",-17.3666666,123.6666666,7.0,88.6
95816099999,"ROBE AIRFIELD, AS",-37.1833333,139.8,4.0,66.2
94957099999,"OUSE FIRE STATION, AS",-42.4833333,146.7166666,91.0,60.5
94762099999,"HOLSWORTHY CONTROL RANGE, AS",-33.9833333,150.9166666,40.0,72.9
95706099999,"NARRANDERA, AS",-34.702222,146.512222,144.47,73.4
95974099999,"FINGAL LEGGE STREET, AS",-41.6333333,147.9666666,237.0,57.0
95896099999,"ALBURY AEROPORT, AS",-36.0666666,146.95,165.0,71.6
94684099999,"YUNTA AIRSTRIP, AS",-32.5666666,139.5666666,300.0,80.9
95572099999,"NAMBOUR DPI HILLSIDE, AS",-26.65,152.9333333,33.0,73.9
94839099999,"CHARLTON, AS",-36.2833333,143.35,132.0,75.8
94566099999,"GYMPIE, AS",-26.1833333,152.6333333,65.0,74.4
94338099999,"TREPELL AIRPORT, AS",-21.8333333,140.8833333,267.0,84.4
94255099999,"CAMOOWEAL TOWNSHIP, AS",-19.9166666,138.1166666,232.0,87.3
94821099999,"MOUNT GAMBIER AERO, AS",-37.7333333,140.7833333,69.0,73.4
95647099999,"NORTH WALPOLE, AS",-34.95,116.7166666,74.0,65.2
95687099999,"RENMARK AERO, AS",-34.2,140.6833333,32.0,82.2
94678099999,"MOUNT CRAWFORD AWS, AS",-34.7333333,138.9333333,525.0,72.0
94261099999,"CENTURY MINE, AS",-18.75,138.7,127.0,83.4
94898099999,"CERBERUS AWS, AS",-38.35,145.1666666,14.0,70.9
95634099999,"SOUTHERN CROSS AIRFIELD, AS",-31.2333333,119.35,348.0,80.1
95837099999,"RUTHERGLEN RESEARCH, AS",-36.1,146.5,175.0,70.9
94910099999,"WAGGA WAGGA, AS",-35.165278,147.466389,220.67,70.4
94239099999,"MCARTHUR RIVER MINE, AS",-16.4333333,136.0666666,41.0,81.5
95293099999,"WOOLSHED, AS",-19.4166666,146.5333333,559.0,73.7
94399099999,"LOCHINGTON, AS",-23.9333333,147.5166666,267.0,79.9
94609099999,"JANDAKOT AERO, AS",-32.1,115.8833333,31.0,79.8
94429099999,"MOUNT MAGNET AERO, AS",-28.1166666,117.8333333,408.0,89.4
95913099999,"MOUNT MOORNAPA, AS",-37.75,147.1333333,480.0,62.0
95663099999,"CUMMINS AERO, AS",-34.25,135.7166666,58.0,69.4
94631099999,"ROCKY GULLY, AS",-34.5666666,117.0166666,251.0,63.9
95773099999,"ARMIDALE AIRPORT AWS, AS",-30.5333333,151.6166666,1081.0,62.7
